Nom;Code(s) UIC
Château-du-Loir;87396606
Château-Gaillard;87543066
Château-l'Évêque;87595165
Château-Renault;87574665
Château-Thierry;87116582
Châteaubourg;87471524
Châteaubriant;87481648
Châteaudun;87545756
Châteaulin;87474064
Châteauneuf - Bujaleuf;87592105
Châteauneuf-sur-Charente;87491506
Châteauneuf-sur-Cher;87576298
Châteauroux;87597005
Châtel - Nomexy;87144071
Châtel-Censoir;87696856
Châtelaillon-Plage;87485110
Châtelaudren - Plouagat;87473140
Châtellerault;87575142
Châtillon d'Azergues;87721753
Chauffailles;87694778
Chaugey;87712679
Chaulnes;87313478
Chaumont;87142000
Chaumont-en-Vexin;87381228
Chauny;87296616
Chaux-des-Crotenay;87715383
Chaville - Vélizy;87393173
Chaville Rive Droite;87382333
Chaville Rive Gauche;87393207
Chazay - Marcilly;87721415
Chedde;87746701
Cheilly-lès-Maranges;87694398
Chelles - Gournay;87116111
Chemillé-en-Anjou;87484246
Chemilly - Appoigny;87683532
Chemin d'Antony;87546317
Chenevières;87141382
Chenonceaux;87574491
Chépy - Valines;87317495
Cherbourg-en-Cotentin;87444877
Chessy;87721761
Chevaigné;87471458
Chevillon;87175117
Chevilly;87543041
Chevrières;87276311
Chézy-sur-Marne;87116574
Chilly-Mazarin;87393637
Chindrieux;87741116
Chinon;87571687
Chirac;87783290
Chissay-en-Touraine;87574848
Chocques;87342220
Choisy-le-Roi;87545285
Cholet;87484303
Chorges;87763425
Chouzy-sur-Cisse;87574301
Cinq-Mars-la-Pile;87571836
Cintegabelle;87611376
Cires-lès-Mello;87313551
Ciry-le-Noble;87694646
Civrieux-d'Azergues;87721746
Cize - Bolozon;87743344
Clacy - Mons;87296178
Clamart;87391565
Clamecy;87696807
Clelles - Mens;87747626
Clères;87411819
Clermont de l'Oise;87313304
Clermont La Pardieu;87782607
Clermont La Rotonde;87396895
Clermont-en-Argonne;87175737
Clermont-Ferrand;87734004
Clerval;87184622
Clichy - Levallois;87381129
Clisson;87481440
Cloyes-sur-le-Loir;87574509
Cluses;87746370
Coarraze - Nay;87672139
Coat Guégan;87473579
Cognac;87491449
Coignières;87393272
Collioure;87784256
Collonges - Fontaines;87721225
Collonges-lès-Premières;87713321
Colmar;87182014
Colmar Mésanges;87402297
Colmar Saint-Joseph;87181222
Colombes;87381087
Colombier-Fontaine;87184556
Colomiers;87611467
Colomiers Lycée International;87611921
Combourg;87478057
Combs-la-Ville - Quincy;87682146
Comines;87286260
Commentry;87641415
Commercy;87175257
Compans;87272047
Compiègne;87276691
Conches-en-Ouche;87387159
Condat - Le Lardin;87594382
Condé-sur-Huisne;87394288
Conflans - Jarny;87192666
Conflans Fin d'Oise;87381459
Conflans-Sainte-Honorine;87381897
Conlie;87396218
Connerré - Beillé;87396309
Contrexéville;87144287
Corbehem;87345116
Corbeil-Essonnes;87681007
Corbie;87313056
Corbigny;87696617
Corcieux Vanémont;87144196
Corcy;87272286
Cordemais;87481820
Cordes - Vindrac;87613802
Corgoloin;87713537
Cormeilles-en-Parisis;87381863
Cormery;87571430
Cornil;87594481
Coron de Méricourt;87345132
Corps-Nuds;87471326
Corrèze;87594119
Corseul - Languenan;87478180
Cosne-Cours-sur-Loire;87696146
Coucy-lès-Eppes;87171769
Coudekerque-Branche;87281402
Couëron;87481804
Couffoulens - Leuc;87615120
Couilly - Saint-Germain - Quincy;87116731
Coulanges-sur-Yonne;87696831
Coulommiers;87116301
Courbevoie;87382200
Courcay - Tauxigny;87571448
Courcelles-le-Comte;87342063
Courcelles-sur-Nied;87192211
Courcy - Brimont;87171710
Coursan;87781161
Courtalain - Saint-Pellerin;87394494
Courthézon;87765180
Courville-sur-Eure;87394221
Cousance;87718270
Coutances;87447110
Coutras;87584516
Couze;87584425
Couzon-au-Mont-d'Or;87721241
Cramoisy;87313544
Cransac;87613232
Cravant - Bazarnes;87683649
Crêches-sur-Saône;87725713
Crécy-la-Chapelle;87116772
Creil;87276006
Crépieux la Pape;87723502
Crépy - Couvron;87296152
Crépy-en-Valois;87271593
Crest;87761783
Créteil Pompadour;87608802
Croix - Wasquehal;87286716
Croix du Prince;87672600
Croix L'Allumette;87281055
Croix Sainte;87753491
Cros de Cagnes;87756338
Crouy;87271874
Crouy-sur-Ourcq;87116640
Cubzac-les-Ponts;87491266
Cuers - Pierrefeu;87755355
Cugand;87481457
Cuinchy;87342410
Culmont - Chalindrey;87142125
Culoz;87741074
Dachstein;87214551
Dambach-la-Ville;87214213
Damiatte - Saint-Paul;87615484
Dammartin - Juilly - Saint-Mard;87271536
Dangé-Saint-Romain;87575126
Danjoutin;87700146
Dannemarie;87182253
Dannemarie - Velesmes;87718312
Dannes - Camiers;87317081
Daours;87315044
Dardilly Le Jubin;87721449
Dardilly Les Mouilles;87721480
Darsac;87734673
Dax;87673202
Decize;87696484
Dégagnac;87613174
Delle;87184440
Deluz;87718429
Denain;87343459
Dercy - Froidmont;87297143
Dettwiller;87212183
Deuil - Montmagny;87276345
Deûlémont;87287185
Deville;87172064
Diarville;87141648
Die;87761841
Diemeringen;87215665
Dieppe;87415018
Dieulouard;87141812
Dieupentale;87611681
Digoin;87694695
Dijon;87713040
Dijon Porte Neuve;87713008
Dinan;87478164
Dingé;87478040
Dirinon;87474015
Dissay;87575191
Dives-sur-Mer - Cabourg;87444414
Dives-sur-Mer Port Guillaume;87337378
Docelles - Cheniménil;87144030
Dol-de-Bretagne;87478073
Dole;87713412
Dombasle-sur-Meurthe;87141119
Domblans - Voiteur;87718213
Domfront-en-Champagne;87396200
Dommartin - Lissieu;87721738
Dommartin - Remiencourt;87316109
Domont;87276436
Dompierre Sept Fons;87696427
Dompierre-sur-Helpe;87295774
Don - Sainghin;87286435
Donchery;87172239
Donges;87481721
Donjeux;87142273
Donzère;87764290
Dordives;87684233
Dorlisheim;87214338
Dormans;87171512
Douai;87345009
Dourdan;87545525
Dourdan La Forêt;87540179
Dourges;87345165
Drancy;87271403
Drap - Cantaron;87756775
Drefféac;87476770
Dreuil-lès-Amiens;87316075
Dreux;87393488
Drusenheim;87212357
Druye;87571612
Dugny - La Courneuve T11;87697342
Dunkerque;87281006
Duppigheim;87214536
Durtol - Nohanent;87641449
Duttlenheim;87214544
Ebblinghem;87281469
Ebersheim;87214106
Échirolles;87725895
École-Valentin;87710731
